code,status,name,latitude,longitude,altitude,installation_height,timezone
TA00061,1,Kipsigis Girls High School,-0.3793746,35.2507188,1959.3,2.0,Africa/Nairobi
TA00062,1,Nasokol Girls High School,1.2734194,35.0853626,2071.0,2.0,Africa/Nairobi
TA00063,1,Kapsabet Boys High School,0.2030556,35.1166889,2015.0,2.0,Africa/Nairobi
TA00064,1,Kamusinga Friends Boys Secondary School,0.7939077,34.7053857,1721.0,2.0,Africa/Nairobi
TA00065,1,Mukumu Girls High School,0.2180637,34.7684636,1566.0,2.0,Africa/Nairobi
TA00066,1,Alliance Girls High School,-1.2654376,36.6623375,1996.0,2.0,Africa/Nairobi
TA00067,1,Makueni Boys School,-1.794284998,37.62121131,1202.1,2.0,Africa/Nairobi
TA00068,1,Base Titanium Mine,-4.373456,39.4409797,128.2,2.0,Africa/Nairobi
TA00069,1,Base Titanium Dam,-4.4062421,39.4305637,51.2,2.5,Africa/Nairobi
TA00070,1,Shimba Hills Kidongo Gate,-4.3117683,39.3718988,236.9,2.0,Africa/Nairobi
TA00071,1,Msambweni SCAO,-4.4607798,39.4828099,20.2,2.0,Africa/Nairobi
TA00072,1,Likoni School for the Blind,-4.0789825,39.6568773,14.0,3.0,Africa/Nairobi
TA00073,1,Thome Boys Secondary School,-0.071723067,36.93383474,1853.5,2.0,Africa/Nairobi
TA00074,1,South Tetu Girls High School,-0.5660801,37.0744122,1726.8,2.0,Africa/Nairobi
TA00075,1,Gashora Girls Academy,-2.2230288,30.2378422,1354.1,3.5,Africa/Maputo
TA00076,1,Urudi Mixed Secondary School,-0.2843613,34.9546417,1170.0,2.0,Africa/Nairobi
TA00077,1,Musaria Secondary School,-0.3830663,35.0684057,1765.0,2.0,Africa/Nairobi
TA00078,1,Nyandarua High School,-0.2001778,36.3769356,2427.2,2.5,Africa/Nairobi
TA00079,1,Amadou Tangara,12.592952,-7.969808,325.6,12.0,Africa/Abidjan
TA00080,1,Waruhiu ATC(Agriculture Training Centre),-1.087589498,36.81840152,1777.3,2.0,Africa/Nairobi
TA00083,1,Bol Matafo,13.5028611,14.6928056,285.0,2.0,Africa/Ndjamena
